id;cod_oferta;data_start_polita;data_end;stare_oferta;id_produs;valuta;suma_plata;id_agent
1;Secured open-source azure;2021-08-23;2021-08-23;INACTIV;moderator ;multi-stat;956563290;Keys
2;Principal;2021-08-23;2021-08-22;INACTIV;Cheese;invoice ge;1525101009;Czech
3;Shoes;2021-08-23;2021-08-23;ACTIV;mobile;Switchable;7202357181;metrics benchmark Gloves
4;Rubber Human;2021-08-23;2021-08-23;INACTIV;Tuna Rusti;Soft Compo;8062186189;plum Senior navigate
5;invoice definition;2021-08-23;2021-08-22;ACTIV;Advanced I;Berkshire ;658775400;Towels
6;Generic invoice Frozen;2021-08-23;2021-08-23;INACTIV;Berkshire ;Comoros gr;334030645;HTTP Metal SAS
7;Riel;2021-08-23;2021-08-23;INACTIV;Florida Me;Cheese Aut;7130301664;haptic
8;Response Metal;2021-08-22;2021-08-23;ACTIV;Checking;Peso;8436594253;Metrics
9;blockchains;2021-08-23;2021-08-23;ACTIV;THX Pants;United;6771755982;attitude BCEAO
10;California sticky;2021-08-23;2021-08-23;ACTIV;Shirt auxi;Steel func;1434117013;hard microchip
